node_id,domain,title,summary,body,status
arched-panels,islamic,Arched panels,,"Rounded panels carved in bas-relief with vegetal patterns.

One artifact was found re-employed in the Ghazni area in the late 1950s or 1960s, more were first recorded in the Ghazni storerooms in 2002.",published
arches,islamic,Arches,,"Arches, composed by more panels, carved in bas-relief. The shape of the arch is of the Persian pointed type, in some cases horseshoe; the arch might spring from decorative columns. The inscriptions often include honorific titles and names; building texts, Qur‘anic verses and religious phrases are also attested.

Most artifacts were found re-employed in the Ghazni area in the period 1958-1966; other were excavated in the Ghaznavid palace or beside the minaret of Bahramshah in 1978.",published
attributes,buddhist,Attributes,,"This category includes objects in the round such as *vajras* and bowls that, although found isolated, are fully recognizable as attributes originally held by lost or partially preserved figures.",published
bases-of-columns,islamic,Bases of columns,,"Bases of columns, composed by one or more elements; some are carved in bas-relief. The upper side contains a round hole for inserting the column (most probably in wood).

Most artifacts were excavated in the mosque of the Ghaznavid palace, some were found re-employed in the Ghazni area in 1957; other were purchased in Ghazni in 1958; one was first recorded in the Ghazni store-rooms in 2002.",published
basins,islamic,Basins,,"Basins, most often sculpted in a square shape; the inner reservoir is often polylobed and inscribed in a hexagon or octagon. Some are carved in bas relief. Some have a drainage hole.

Artifacts were found in the Ghazni area or in the Rawza and Kabul museums in the years 1957-1966, or were purchased in Ghazni in the same years, or were excavated in the Ghaznavid palace and in the house of luster wares; other were first recorded in the Ghazni store-rooms in 2002.",published
brick-columns-stucco-tiles,islamic,Brick columns with stucco tiles,,The technique adopted in panels is applied to Columns as well. The 7 finds show a brick geometric pattern and stucco tiles inserted. The only come from the southern area.,published
brick-tiles,islamic,Brick tiles,,Brick tiles usually are bigger than stucco ones. They are usually carved with a single vegetal element or some vegetal elements radially arranged.,published
brickwork-and-stucco,islamic,Brickwork and stucco,,"The combination of brickwork and stucco occurs in panels and columns made of edgewise laid bricks composing a geometric pattern with stucco tiles inserted into. Please note that in some cases the tiles are made of brick as well; it is still unclear whether they represent a replacement of stucco tiles or not. Seventeen different geometric patterns have been identified so far. 

For items made of a layer of decorated stucco bedded on a baked brick base, see the [Stucco section](/islamic/finds/stucco).",published
brickwork-frames,islamic,Frames,,"Frames show either vegetal, geometric or zoomorphic motifs. Some of them might have belonged to panels.",published
brickwork,islamic,Brickwork,,"The finds are classified in nine categories. Very small fragments and fragments in a very bad state of preservation have been excluded. All elements of architectural decoration were painted.  
The definition of brickwork has been preferred to that of clay, which is the base material worked either as baked or unbaked. Most artefacts come from the excavation of the Ghaznavid Palace.  
Among the finds brought to Italy (Museo Nazionale d’Arte Orientale) in 1966, only a few have been restored and analysed in 2007; 137 items are still unbandaged.",published
buddhist-coins,buddhist,Coins,,"Small metal objects, and especially coins, from the excavations of Tapa Sardar disappeared from the storerooms in Ghazni during the years of the civil war.

However, the MAIA had preserved at the Centro Scavi of IsMEO/IsIAO in Rome the casts of the coins, which are presently being studied by Michael Alram, Director of the Coin Collection of the Kunsthistorisches Museum Wien.",published
bw_columns,islamic,Pillars and columns,Pillars and columns,"Pillars and columns are engaged having a merely decorative function. For instance, cubic and prismatic elements show only two decorated sides since they were always fit into a corner.  
The category includes many different elements, all coming from the Ghaznavid Palace.",published
bw_friezes,islamic,Friezes,Friezes,"Friezes were probably arranged in horizontal series composing superimposed registers. All come from the Ghaznavid Palace. The only identified type is with knotted pseudo-epigraphic motif and comes from the central area-west side, the central courtyard, the south-western area (private apartments).",published
bw_panels-and-frames,islamic,Panels and frames,,Eight types of panels have been identified so far. Some are in a very fragmentary status and can be recognised by technique.,published
bw_pilasters,islamic,Pilasters,,"Pilasters are composed by panels with vegetal decoration, whose measures rang in width between 27 and 30 cm and in height between 30 and 60 cm.  
No such item was found in situ, but the elevated number of finds along the central courtyard perimeter attest to their important role in the architectural decoration of the antechambers. Current hypotheses also relocate them on the back wall of the throne hall, possibly flanking the throne itself. Pilasters show a carved, modular decoration. Four patterns have been reconstructed so far; others are still unidentified. Type 1 counts the majority of finds and it is attested by stucco finds as well (see [Stucco/Pilasters](/islamic/finds/stucco/pilasters)).",published
